IncidentId,Factor_Type,Factor,Factor_Text
31438202,Environmental Factor,14,"VIEW OBSTRUCTED, LIMITED DUE TO WEATHER CONDITIONS"
31439912,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31440142,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31440144,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31441243,Environmental Factor,15,GLARE (OTHER)
31442992,Environmental Factor,07,IMPROPERLY PARKED VEHICLE(S)
31449091,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31456080,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31459335,Environmental Factor,11,SLIPPERY SURFACE
31460272,Environmental Factor,11,SLIPPERY SURFACE
31462168,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31463503,Environmental Factor,11,SLIPPERY SURFACE
31463505,Environmental Factor,11,SLIPPERY SURFACE
31463642,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31463644,Environmental Factor,11,SLIPPERY SURFACE
31463670,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31463671,Environmental Factor,11,SLIPPERY SURFACE
31467321,Environmental Factor,01,ANIMALS ACTION
31470086,Environmental Factor,15,GLARE (OTHER)
31483620,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31483632,Environmental Factor,05,GLARE (SUN)
31484904,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31485185,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31485989,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31488006,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31488933,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31489096,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31490133,Environmental Factor,01,ANIMALS ACTION
31492306,Environmental Factor,05,GLARE (SUN)
31496658,Environmental Factor,11,SLIPPERY SURFACE
31497501,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31498234,Environmental Factor,11,SLIPPERY SURFACE
31498250,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31500571,Environmental Factor,09,MAINTENANCE/UTILITY WORK ZONE
31502121,Environmental Factor,11,SLIPPERY SURFACE
31502508,Environmental Factor,05,GLARE (SUN)
31502842,Environmental Factor,04,FIXED OBJECT(S)
31509154,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31509155,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31509253,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31513965,Environmental Factor,05,GLARE (SUN)
31516276,Environmental Factor,01,ANIMALS ACTION
31516718,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31519045,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31520129,Environmental Factor,09,MAINTENANCE/UTILITY WORK ZONE
31522802,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31524511,Environmental Factor,07,IMPROPERLY PARKED VEHICLE(S)
31525194,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31528599,Environmental Factor,11,SLIPPERY SURFACE
31529073,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31529283,Environmental Factor,11,SLIPPERY SURFACE
31529426,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31529703,Environmental Factor,08,IMPROPER/NON-WORKING TRAFFIC CONTROLS
31529708,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31529754,Environmental Factor,15,GLARE (OTHER)
31529756,Environmental Factor,11,SLIPPERY SURFACE
31529758,Environmental Factor,11,SLIPPERY SURFACE
31529982,Environmental Factor,11,SLIPPERY SURFACE
31530063,Environmental Factor,11,SLIPPERY SURFACE
31530229,Environmental Factor,11,SLIPPERY SURFACE
31530889,Environmental Factor,11,SLIPPERY SURFACE
31530890,Environmental Factor,11,SLIPPERY SURFACE
31530896,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31531511,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31531739,Environmental Factor,12,VIEW OBSTRUCTED/LIMITED DUE TO RDWY
31531849,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31532620,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31535470,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31535991,Environmental Factor,13,WATER POOLING
31536695,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31536701,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31536713,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31541111,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31545866,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31546065,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31546964,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31547338,Environmental Factor,05,GLARE (SUN)
31554856,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31556223,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31556325,Environmental Factor,11,SLIPPERY SURFACE
31556781,Environmental Factor,11,SLIPPERY SURFACE
31557243,Environmental Factor,07,IMPROPERLY PARKED VEHICLE(S)
31558478,Environmental Factor,17,BACKUP DUE TO REGULAR CONGESTION
31560068,Environmental Factor,07,IMPROPERLY PARKED VEHICLE(S)
31561637,Environmental Factor,04,FIXED OBJECT(S)
31562139,Environmental Factor,11,SLIPPERY SURFACE
31562185,Environmental Factor,11,SLIPPERY SURFACE
31562186,Environmental Factor,11,SLIPPERY SURFACE
